true_x,true_y,samples,mean_error_m,median_error_m,max_error_m
2.0,3.0,8,3.5273795,3.8323598,4.1912847
0.0,4.0,8,3.2643592,3.28905,3.4000125
0.0,1.0,9,2.636829,2.6551359,3.1570446
1.0,2.0,9,2.59694,2.6040885,3.034773
0.0,3.0,9,2.5551763,1.6231625,4.557055
1.0,4.0,9,1.8391016,1.8507509,3.0845065
0.0,9.0,9,1.6551714,1.6656965,1.6787238
0.0,8.0,9,1.5363712,1.4992657,1.6570798
0.0,0.0,8,1.5304093,1.5695391,1.796862
3.0,5.0,9,1.5295848,1.4227158,2.6303296
1.0,3.0,9,1.5056622,1.722983,1.8014222
1.0,0.0,9,1.4575515,1.4435962,1.6658403
2.0,5.0,8,1.3903515,1.4610639,2.1873822
0.0,6.0,9,1.3792162,1.4807298,1.7263145
4.0,2.0,8,1.3345883,1.3701836,1.6467763
2.0,6.0,8,1.3077052,1.3879406,1.8418785
1.0,5.0,9,1.2325798,1.2455016,2.0500124
4.0,5.0,9,1.1838498,1.2203406,1.9087617
1.0,7.0,8,1.1738299,1.0986226,1.7168322
3.0,4.0,9,1.1628941,0.7280746,2.2526147
2.0,4.0,9,1.151385,1.303313,2.3305602
2.0,2.0,9,1.1333114,1.1310925,1.5617994
3.0,3.0,9,1.1007979,1.1260536,1.4904532
4.0,6.0,9,1.0811385,1.1067903,2.0711646
4.0,8.0,9,1.0341381,0.9997394,1.539733
4.0,3.0,8,1.0100968,1.1323717,1.5759091
1.0,6.0,8,0.96241355,0.8231261,1.7557653
3.0,1.0,9,0.91417664,0.91053027,1.0696678
1.0,9.0,9,0.9125662,0.9211979,0.97827417
2.0,8.0,9,0.9030068,0.91184413,1.0280771
4.0,1.0,9,0.8768985,0.8002349,1.4871277
2.0,7.0,9,0.84516025,0.92629236,1.1490095
1.0,1.0,9,0.84082997,0.85140765,1.3276074
3.0,8.0,9,0.82162064,0.7216925,1.1646336
3.0,7.0,9,0.7422594,0.6631712,1.0879124
2.0,0.0,9,0.6904726,0.4913881,1.3612248
0.0,7.0,9,0.67199343,0.6982415,1.4908063
4.0,7.0,9,0.66668594,0.6681857,1.0580719
3.0,6.0,9,0.64366937,0.54246676,1.391169
2.0,1.0,9,0.6267741,0.566069,1.8601589
1.0,8.0,8,0.6186515,0.63650006,0.8408047
3.0,2.0,8,0.5996646,0.6011331,0.82147604
0.0,5.0,9,0.57622796,0.32405934,1.1584775
4.0,4.0,9,0.48517567,0.47678065,0.6739305
0.0,2.0,8,0.46758085,0.4182709,0.8511069
3.0,0.0,9,0.306945,0.30895075,0.44469485
4.0,0.0,8,0.17631048,0.13235126,0.520194
