epoch,train_loss,val_loss,is_best
1,5.621382,4.739814,1
2,4.640968,4.494024,1
3,3.141775,2.531413,1
4,2.034928,1.756606,1
5,1.763453,1.681953,1
6,1.635816,1.689463,0
7,1.608818,1.777260,0
8,1.579539,1.554508,1
9,1.455302,1.525831,1
10,1.377352,1.565812,0
11,1.239597,1.193963,1
12,1.237756,1.335838,0
13,1.144270,1.290141,0
14,1.119020,1.175309,1
15,1.081910,1.302783,0
16,1.108542,1.090172,1
17,1.032215,1.253855,0
18,0.960815,1.245316,0
19,0.854438,1.110253,0
20,0.847200,1.193886,0
21,0.795323,1.200118,0
22,0.788602,1.303000,0
23,0.772537,1.231976,0
24,0.712484,1.048609,1
25,0.638292,1.336345,0
26,0.705800,1.238721,0
27,0.620135,1.293990,0
28,0.620841,1.139508,0
29,0.563816,1.186928,0
30,0.529733,1.173846,0
31,0.515710,1.062286,0
32,0.511160,1.137728,0
33,0.475493,1.036800,1
34,0.506829,1.042565,0
35,0.450654,1.181402,0
36,0.435209,1.094218,0
37,0.434388,1.102792,0
38,0.390604,0.922002,1
39,0.335767,0.993217,0
40,0.380962,0.860859,1
41,0.364205,1.009043,0
42,0.340610,0.897886,0
43,0.353744,1.267141,0
44,0.322586,0.925178,0
45,0.279587,0.866956,0
46,0.297539,1.001848,0
47,0.276719,1.076430,0
48,0.291870,0.949103,0
49,0.238019,0.914982,0
50,0.237842,1.033827,0
51,0.240158,0.955592,0
52,0.213601,0.875400,0
