epoch,train_loss,val_loss,is_best
1,2.869976,2.181668,1
2,2.071623,1.343097,1
3,1.240077,1.140927,1
4,1.092529,1.470907,0
5,1.028554,1.050443,1
6,0.930804,0.916568,1
7,0.839134,0.890351,1
8,0.750143,0.961717,0
9,0.667421,1.012164,0
10,0.659321,1.084425,0
11,0.627978,0.907107,0
12,0.566249,0.921951,0
13,0.532617,0.926963,0
14,0.529911,0.834220,1
15,0.510103,0.867437,0
16,0.500583,0.905761,0
17,0.477670,0.890679,0
18,0.464789,0.932338,0
19,0.465636,0.904655,0
20,0.417955,0.784602,1
21,0.396965,0.865696,0
22,0.378606,0.922144,0
23,0.368791,0.973995,0
24,0.350569,0.901897,0
25,0.341725,0.975217,0
26,0.314028,0.986834,0
27,0.316371,0.910174,0
28,0.289877,0.893475,0
29,0.284796,0.940478,0
30,0.288635,0.866729,0
31,0.275947,0.928125,0
32,0.252273,0.879867,0
