true_x,true_y,samples,mean_error_m,median_error_m,max_error_m
1.0,0.0,7,3.4296105,3.5942273,3.6651924
4.0,2.0,6,3.171768,3.3754423,3.6901093
3.0,1.0,7,2.717586,2.7399492,2.8789241
0.0,7.0,5,2.466043,2.4776032,3.3438435
2.0,1.0,7,2.440163,2.486779,2.8043277
3.0,3.0,7,2.2418027,2.1919615,2.608292
2.0,3.0,6,1.8887949,1.561748,2.8730226
4.0,5.0,7,1.8388971,1.8493941,2.0308766
0.0,0.0,8,1.5878679,1.6306654,1.9436065
3.0,4.0,4,1.5577822,1.6263883,2.4046595
0.0,4.0,7,1.5312527,1.2203116,2.6608155
0.0,8.0,5,1.5250746,1.2946486,2.571885
2.0,5.0,6,1.3535824,1.5439763,1.7734144
0.0,3.0,4,1.3392903,1.3050885,1.5653583
3.0,5.0,8,1.3013189,1.351722,1.451721
2.0,4.0,5,1.2886946,1.3721334,1.743468
4.0,8.0,7,1.2387084,1.226168,1.4454486
4.0,0.0,3,1.2302876,1.2892903,1.3578789
1.0,4.0,5,1.222376,1.3034263,1.564554
2.0,2.0,7,1.1783878,1.2685707,1.6102492
1.0,6.0,7,1.1653633,1.1134565,1.3375486
1.0,2.0,5,1.045018,1.0182892,1.2260352
1.0,3.0,6,0.9310501,0.9415232,1.1989398
2.0,0.0,7,0.8854756,0.93005204,0.9878583
1.0,7.0,6,0.87934023,1.057868,1.2686784
4.0,4.0,5,0.7996947,0.8125416,0.88890475
0.0,1.0,8,0.7823346,0.8319509,0.86837363
3.0,0.0,7,0.74760723,0.6449472,1.2523625
4.0,1.0,6,0.72818464,0.7471029,0.8809344
2.0,8.0,5,0.72489035,0.77222973,0.81882256
1.0,1.0,8,0.7200863,0.6710191,1.199265
3.0,6.0,8,0.6777657,0.6543331,0.89060086
2.0,7.0,7,0.67012036,0.6471751,0.7690313
1.0,5.0,8,0.64562774,0.6083932,0.8609732
0.0,5.0,8,0.5803274,0.57047284,1.2226119
1.0,8.0,6,0.51022035,0.52801514,0.61250705
4.0,7.0,7,0.4969168,0.49102896,0.578453
2.0,6.0,7,0.4818245,0.48449686,0.53355104
3.0,8.0,6,0.448172,0.48391092,0.7458608
0.0,6.0,7,0.39812174,0.42456535,0.5600646
0.0,2.0,7,0.37859914,0.41428715,0.5343052
3.0,7.0,5,0.3238817,0.3162844,0.3696468
1.0,9.0,7,0.27676862,0.30638078,0.3205999
4.0,6.0,9,0.23057348,0.23487999,0.30234396
0.0,9.0,6,0.16896077,0.13041095,0.39517763
3.0,2.0,6,0.16849013,0.14338827,0.31851125
4.0,3.0,4,0.089803904,0.08892519,0.13060687
