elapsed_s,tag_hex_id,position_x,position_y,yaw_map
6.985,0x14,1.4737,3.0169,349.81
7.193,0x14,1.5158,3.0266,349.38
7.492,0x14,1.5307,3.1459,349.38
7.791,0x14,1.5566,3.2295,348.38
8.087,0x14,1.5692,3.4282,347.38
8.384,0x14,1.6036,3.5878,345.69
8.684,0x14,1.6341,3.7169,343.38
8.98,0x14,1.6384,3.7497,344.5
9.214,0x14,1.5263,4.2745,347.94
9.278,0x14,1.5589,4.1814,347.69
9.577,0x14,1.5584,3.9313,345.19
9.872,0x14,1.5639,3.8617,345.81
10.169,0x14,1.6013,3.6346,345.44
10.469,0x14,1.5647,3.4551,343.31
10.584,0x14,1.4448,3.8803,344.25
10.768,0x14,1.4196,3.6796,344.0
11.069,0x14,1.419,3.4623,347.12
11.298,0x14,1.3199,3.9905,349.38
11.363,0x14,1.348,3.7314,349.06
11.662,0x14,1.4053,3.5171,348.06
11.957,0x14,1.4921,3.3203,350.81
12.254,0x14,1.553,3.1418,352.0
12.555,0x14,1.6184,2.9698,350.44
12.852,0x14,1.6706,2.8087,348.62
13.149,0x14,1.7112,2.6624,345.62
13.323,0x14,1.5976,3.1138,345.88
13.452,0x14,1.6395,2.949,346.06
13.749,0x14,1.6712,2.8035,346.75
14.052,0x14,1.5934,3.1452,347.94
14.346,0x14,1.6088,3.0042,347.88
14.647,0x14,1.6183,2.9136,348.62
14.943,0x14,1.6121,2.9339,348.75
15.243,0x14,1.5934,3.027,348.94
15.543,0x14,1.5744,3.1113,349.31
15.841,0x14,1.5622,3.1822,347.06
16.012,0x14,1.4554,3.6338,346.69
16.137,0x14,1.4451,3.6776,347.0
16.435,0x14,1.432,3.7027,349.25
16.736,0x14,1.4162,3.7047,351.38
16.788,0x14,1.3465,4.1781,351.62
17.036,0x14,1.3337,4.115,351.69
17.335,0x14,1.317,4.0318,351.06
17.632,0x14,1.3057,3.9352,350.94
17.932,0x14,1.293,3.8362,349.88
18.233,0x14,1.2838,3.7518,348.38
18.531,0x14,1.2781,3.679,349.75
18.829,0x14,1.1939,4.127,350.69
19.127,0x14,1.202,4.0725,348.94
19.425,0x14,1.2117,4.0274,348.69
19.724,0x14,1.223,4.0008,347.94
20.027,0x14,1.2282,3.9885,346.5
20.327,0x14,1.2309,3.9827,343.94
20.622,0x14,1.2336,3.9858,347.31
20.921,0x14,1.239,3.9897,350.75
21.033,0x14,1.148,4.5299,350.44
21.218,0x14,1.1597,4.5179,349.0
21.519,0x14,1.1687,4.5115,348.75
21.814,0x14,1.1745,4.5003,349.06
22.115,0x14,1.1735,4.4821,348.5
22.167,0x14,1.0773,4.9576,348.56
22.416,0x14,1.076,4.9225,350.31
22.714,0x14,1.0795,4.8844,356.56
22.945,0x14,1.0493,5.3868,356.56
23.011,0x14,1.0577,5.3206,355.81
23.31,0x14,1.063,5.2588,353.0
23.609,0x14,1.0671,5.2057,352.62
23.907,0x14,1.072,5.1545,352.62
24.208,0x14,1.0788,5.099,352.19
24.504,0x14,1.0894,5.0424,349.75
24.805,0x14,1.0982,4.9825,352.25
25.102,0x14,1.0623,5.438,354.81
25.402,0x14,1.0803,5.3779,351.56
25.699,0x14,1.0997,5.3311,351.12
25.995,0x14,1.1254,5.2812,351.75
26.295,0x14,1.1516,5.2552,351.38
26.592,0x14,1.1884,5.2745,349.0
26.647,0x14,1.104,5.7037,348.88
26.892,0x14,1.1686,5.7415,348.0
27.194,0x14,1.2368,5.7879,351.25
27.496,0x14,1.3,5.8415,351.56
27.793,0x14,1.3672,5.8912,349.12
28.089,0x14,1.4339,5.944,349.75
28.388,0x14,1.4976,6.0019,349.62
28.686,0x14,1.5475,6.0572,349.12
28.991,0x14,1.5712,6.1017,347.19
29.285,0x14,1.5829,6.1385,347.0
29.583,0x14,1.5948,6.1705,349.25
29.817,0x14,1.5109,6.6964,350.94
29.881,0x14,1.5181,6.7137,350.88
30.178,0x14,1.5166,6.7237,350.25
30.475,0x14,1.5101,6.7347,352.38
30.774,0x14,1.5091,6.7457,352.31
31.07,0x14,1.5122,6.756,350.62
31.369,0x14,1.4242,7.1659,346.31
31.667,0x14,1.4336,7.1699,345.31
31.966,0x14,1.4443,7.1769,350.0
32.262,0x14,1.3887,7.6504,351.44
32.561,0x14,1.4056,7.6495,351.19
32.858,0x14,1.4213,7.6495,350.62
33.154,0x14,1.4363,7.6526,350.0
33.451,0x14,1.4474,7.6577,347.38
33.506,0x14,1.3453,8.0954,346.88
33.754,0x14,1.3614,8.0923,346.31
34.051,0x14,1.3765,8.0897,348.06
34.352,0x14,1.39,8.0869,350.19
34.459,0x14,1.3064,8.5641,350.06
34.645,0x14,1.3203,8.5467,350.25
34.945,0x14,1.3336,8.5288,350.31
35.244,0x14,1.3572,8.509,349.44
35.541,0x14,1.3942,8.4919,346.38
35.84,0x14,1.4335,8.4662,347.31
36.256,0x14,1.4735,8.4362,355.06
36.553,0x14,1.5038,8.4057,353.94
36.854,0x14,1.5329,8.3779,354.75
37.163,0x14,1.5702,8.3551,357.81
37.45,0x14,1.5907,8.3335,4.56
37.751,0x14,1.6046,8.311,16.12
38.046,0x14,1.6197,8.2938,35.88
